"Data 
month",Data type,Nationality group,Nationality,All staff groups,All staff groups,HCHS doctors - All grades,HCHS doctors - Consultant,HCHS doctors - Associate Specialist,HCHS doctors - Specialty Doctor,HCHS doctors - Staff Grade,HCHS doctors - Specialty Registrar,HCHS doctors - Core Training,HCHS doctors - Foundation Doctor Year 2,HCHS doctors - Foundation Doctor Year 1,HCHS doctors - Hospital Practitioner / Clinical Assistant,HCHS doctors - Other HCHS Doctor Grades,Nurses & health visitors,Midwives,Ambulance staff,"Scientific, therapeutic & technical staff",All staff groups,"Support to doctors, nurses & midwives",Support to ambulance staff,Support to ST&T staff,All staff groups,Senior managers,Managers,Central functions,"Hotel, property & estates",Unknown classification
Jun-26,FTE,All nationality groups,All nationalities,1370441.13,755800.75,152936.22,61450.56,3009.62,10078.62,202.86,34911.24,25813.26,7583.12,8388.83,728.90,769.22,371724.51,25531.74,23146.90,182461.37,402667.57,288463.43,25386.33,88817.82,211796.53,13083.60,25290.91,106577.23,66844.78,176.28
Jun-26,FTE,United Kingdom,All nationalities,1038806.31,540648.67,95113.22,47246.21,1632.34,3639.96,66.39,19100.02,10358.90,5305.43,6451.46,623.32,689.18,249968.38,22530.94,20664.77,152371.36,317912.85,220715.04,23519.33,73678.48,180119.79,12447.16,23395.29,94134.90,50142.46,124.99
Jun-26,FTE,United Kingdom,British,1032005.86,537248.33,94452.72,47117.31,1625.59,3631.44,66.39,18967.32,10284.50,5283.56,6171.08,620.80,684.74,248509.97,22429.82,20461.39,151394.43,315735.53,219274.50,23281.06,73179.96,178897.01,12383.93,23275.47,93450.04,49787.58,124.99
Jun-26,FTE,United Kingdom,English,5547.26,2621.64,500.72,78.80,3.75,4.90,0.00,87.31,41.44,13.00,266.38,2.13,3.00,1176.64,82.94,102.75,758.59,1886.79,1284.28,189.83,412.68,1038.82,42.72,94.59,585.89,315.62,0.00
Jun-26,FTE,United Kingdom,Northern Irish,129.62,97.11,25.11,8.69,0.00,0.65,0.00,5.27,4.00,2.00,4.00,0.40,0.10,26.45,1.00,10.00,34.55,14.81,10.81,0.00,4.00,17.70,2.00,2.50,13.20,0.00,0.00
Jun-26,FTE,United Kingdom,Scottish,503.22,299.85,60.64,27.75,1.00,0.97,0.00,17.01,7.44,3.87,2.00,0.00,0.60,137.26,6.13,25.23,70.58,124.24,68.07,17.80,38.37,79.13,5.51,9.80,40.11,23.72,0.00
Jun-26,FTE,United Kingdom,Welsh,620.36,381.74,74.03,13.66,2.00,2.00,0.00,23.11,21.51,3.00,8.00,0.00,0.74,118.05,11.05,65.39,113.22,151.48,77.38,30.64,43.47,87.13,13.00,12.93,45.67,15.53,0.00
Jun-26,FTE,European Union,All nationalities,72012.04,40903.51,10701.38,5010.61,209.89,689.69,40.26,2374.92,1317.54,454.38,533.58,28.08,42.44,17852.40,1086.80,581.46,10681.47,19721.09,14013.30,482.86,5224.92,11375.66,318.21,777.04,3992.75,6287.65,11.78
Jun-26,FTE,European Union,Austrian,490.38,327.40,83.56,31.76,0.00,1.50,0.00,18.84,13.52,8.68,9.00,0.25,0.00,158.83,14.29,1.00,69.72,112.82,85.02,1.80,26.00,50.17,2.00,1.00,23.43,23.73,0.00
Jun-26,FTE,European Union,Belgian,540.20,371.30,141.20,51.92,1.00,3.00,0.00,41.41,25.52,10.00,8.00,0.35,0.00,149.82,15.53,1.68,63.07,112.64,83.93,1.00,27.71,56.26,1.00,5.00,19.20,31.06,0.00
